ltable_url,ltable_problem_code,rtable_url,rtable_problem_code
http://www.spoj.com/problems/MAUMAU,,https://www.codechef.com/problems/GALACTIK,
http://www.spoj.com/problems/GUESS003,,https://www.codechef.com/problems/DMNOS,
http://www.spoj.com/problems/BIDGAME,,https://www.codechef.com/problems/SHOPPING,
http://www.spoj.com/problems/CHARCHOC,,https://www.codechef.com/problems/PRLADDU,
http://www.spoj.com/problems/GSS5,,https://www.codechef.com/problems/LOC02,
http://www.spoj.com/problems/CTOI10D1,,https://www.codechef.com/problems/UTMOPR,
http://www.spoj.com/problems/ISAB,,https://www.codechef.com/problems/FISHY,
http://www.spoj.com/problems/GUESS003,,https://www.codechef.com/problems/COADIES1,
http://www.spoj.com/problems/MEXICAN,,https://www.codechef.com/problems/AXR3P2,
http://www.spoj.com/problems/VPL1_AE,,https://www.codechef.com/problems/VVR,
http://www.spoj.com/problems/ORIGLIFE,,https://www.codechef.com/problems/BMASTER,
http://www.spoj.com/problems/NOVICE23,,https://www.codechef.com/problems/SUM1,
http://www.spoj.com/problems/CUCKOO,,https://www.codechef.com/problems/FLUSHOT,
http://www.spoj.com/problems/PPP07D,,https://www.codechef.com/problems/SHASFUN,
http://www.spoj.com/problems/MMMAGIC3,,https://www.codechef.com/problems/TEAMSIZE,
http://www.spoj.com/problems/TAP2015E,,https://www.codechef.com/problems/IOPC1112,
http://www.spoj.com/problems/TAP2016I,,https://www.codechef.com/problems/ALLINONE,
http://www.spoj.com/problems/NAJAS,,https://www.codechef.com/problems/LOC02,
http://www.spoj.com/problems/TAP2016I,,https://www.codechef.com/problems/NPIN,
http://www.spoj.com/problems/LAND,,https://www.codechef.com/problems/WORDNINJ,
http://www.spoj.com/problems/ADDREV,,https://www.codechef.com/problems/CODEJAM7,
http://www.spoj.com/problems/ZRELY1,,https://www.codechef.com/problems/KAN13A,
http://www.spoj.com/problems/PESADA04,,https://www.codechef.com/problems/LOC02,
http://www.spoj.com/problems/DARKASLT,,https://www.codechef.com/problems/IITK2P07,
http://www.spoj.com/problems/GOSTONES,,https://www.codechef.com/problems/N2,
http://www.spoj.com/problems/WRP,,https://www.codechef.com/problems/HOB,
http://www.spoj.com/problems/CERC07P,,https://www.codechef.com/problems/ROC,
http://www.spoj.com/problems/SWAP_HRD,,https://www.codechef.com/problems/SHASFUN,
http://www.spoj.com/problems/TAP2015E,,https://www.codechef.com/problems/TOMJERRY,
http://www.spoj.com/problems/WALL,,https://www.codechef.com/problems/P9,
http://www.spoj.com/problems/KPRIMESB,,https://www.codechef.com/problems/STRANGE,
http://www.spoj.com/problems/GUESS002,,https://www.codechef.com/problems/ABES03,
http://www.spoj.com/problems/FATAWY,,https://www.codechef.com/problems/IOPC15M,
http://www.spoj.com/problems/HAN01,,https://www.codechef.com/problems/WORDNINJ,
http://www.spoj.com/problems/AMR12F,,https://www.codechef.com/problems/ASHIGIFT,
http://www.spoj.com/problems/TAP2016I,,https://www.codechef.com/problems/IITK2P07,
http://www.spoj.com/problems/PERMCODE,,https://www.codechef.com/problems/TEAMSIZE,
http://www.spoj.com/problems/MCOCIR,,https://www.codechef.com/problems/TOMJERRY,
http://www.spoj.com/problems/CONTEST,,https://www.codechef.com/problems/KINGCON,
http://www.spoj.com/problems/CINEMACON,,https://www.codechef.com/problems/IOPC13M,
http://www.spoj.com/problems/FAMILY,,https://www.codechef.com/problems/CHEFGIFT,
http://www.spoj.com/problems/OPC1708C,,https://www.codechef.com/problems/DEB002,
http://www.spoj.com/problems/NOVICE21,,https://www.codechef.com/problems/CHKTRE,
http://www.spoj.com/problems/NINJA7,,https://www.codechef.com/problems/SIMBIRD,
http://www.spoj.com/problems/MGAME,,https://www.codechef.com/problems/CHEFHACK,
http://www.spoj.com/problems/LOCKKEY,,https://www.codechef.com/problems/MAZETRAV,
http://www.spoj.com/problems/WORDRING,,https://www.codechef.com/problems/HOB,
http://www.spoj.com/problems/ATOURISM,,https://www.codechef.com/problems/GRETHIEF,
